"","CUSTID","DATE","HOUR","RHUM","TMP","KW"
"1","A02SSH00302","5/2/2003 0:00:00",1,83,54,0.52
"2","A02SSH00302","5/2/2003 0:00:00",2,77,55,0.54
"3","A02SSH00302","5/2/2003 0:00:00",3,75,55,0.465
"4","A02SSH00302","5/2/2003 0:00:00",4,77,53,0.57
"5","A02SSH00302","5/2/2003 0:00:00",5,80,53,0.47
"6","A02SSH00302","5/2/2003 0:00:00",6,77,54,0.495
"7","A02SSH00302","5/2/2003 0:00:00",7,75,56,0.575
"8","A02SSH00302","5/2/2003 0:00:00",8,70,58,0.47
"9","A02SSH00302","5/2/2003 0:00:00",9,62,60,0.97
"10","A02SSH00302","5/2/2003 0:00:00",10,60,61,1.915
"11","A02SSH00302","5/2/2003 0:00:00",11,54,64,2.0475
"12","A02SSH00302","5/2/2003 0:00:00",12,56,63,1.9225
"13","A02SSH00302","5/2/2003 0:00:00",13,56,63,1.93
"14","A02SSH00302","5/2/2003 0:00:00",14,54,64,2.1475
"15","A02SSH00302","5/2/2003 0:00:00",15,56,63,1.4775
"16","A02SSH00302","5/2/2003 0:00:00",16,60,62,0.5875
"17","A02SSH00302","5/2/2003 0:00:00",17,60,61,0.4
"18","A02SSH00302","5/2/2003 0:00:00",18,67,59,1.18
"19","A02SSH00302","5/2/2003 0:00:00",19,70,58,0.84
"20","A02SSH00302","5/2/2003 0:00:00",20,72,58,0.45
"21","A02SSH00302","5/2/2003 0:00:00",21,72,58,0.91
"22","A02SSH00302","5/2/2003 0:00:00",22,75,58,1.315
"23","A02SSH00302","5/2/2003 0:00:00",23,75,58,0.825
"24","A02SSH00302","5/2/2003 0:00:00",24,72,58,0.525
"25","A02SSH00302","5/3/2003 0:00:00",1,72,58,0.545
"26","A02SSH00302","5/3/2003 0:00:00",2,72,58,0.51
"27","A02SSH00302","5/3/2003 0:00:00",3,80,57,0.515
"28","A02SSH00302","5/3/2003 0:00:00",4,87,56,0.495
"29","A02SSH00302","5/3/2003 0:00:00",5,96,54,0.59
"30","A02SSH00302","5/3/2003 0:00:00",6,93,55,0.465
"31","A02SSH00302","5/3/2003 0:00:00",7,96,55,0.63
"32","A02SSH00302","5/3/2003 0:00:00",8,96,56,0.475
"33","A02SSH00302","5/3/2003 0:00:00",9,96,56,0.6025
