JSON Schema
=====
root
 |-- destination: string (nullable = true)
 |-- eventTime: string (nullable = true)
 |-- guid: string (nullable = true)
 |-- payload: struct (nullable = true)
 |    |-- data: struct (nullable = true)
 |    |    |-- bodytemperature: double (nullable = true)
 |    |    |-- heartrate: long (nullable = true)
 |    |    |-- latitude: double (nullable = true)
 |    |    |-- longitude: double (nullable = true)
 |    |-- format: string (nullable = true)


 
sql table obtained from iot messages 
+---------------+---------+----------+----------+
|bodytemperature|heartrate|  latitude| longitude|
+---------------+---------+----------+----------+
|           99.7|       83| 51.423063|-0.1217732|
|           95.3|      127|51.4703043|-0.1139714|
|           99.5|       45|51.5857046|-0.1615828|
|           95.2|       71|51.4701692|-0.1065218|
|           98.1|      103|51.4711052|-0.0795158|
|           99.4|       99| 51.493723|-0.1291572|
|           96.8|      138|51.4940439|-0.0583526|
|           95.1|      117|51.5599465|-0.1261638|
|           96.4|       89|51.4574615|-0.1306077|
|           97.8|      132|51.5186394|-0.0735708|
|           95.2|       67|51.4669427|-0.0546089|
|           95.3|       51|51.5612156|-0.1443468|
|           97.8|       64|51.4914227|-0.1815553|
|           99.8|      138|51.4298599|-0.1528678|
|           97.2|      158|51.4582562|-0.0897358|
|           97.8|       31|51.5279743|-0.0834593|
|           97.4|       85|51.4358898|-0.0718076|
|           96.0|       65|51.5213118|-0.1910513|
|           95.7|       77|51.5743545|-0.1533152|
|           95.1|      134| 51.568824| -0.083786|
|           96.0|       43|51.4798096|-0.0967304|
|           98.6|       33|51.5223061|-0.1009649|
|           98.1|       61|51.5688487|-0.1558479|
|           96.8|      144|51.4601919|-0.0583724|
|           97.9|       57|51.5128287|-0.1873392|
|           98.4|       61|51.4833623|-0.1452013|
|           97.4|       95| 51.569139|-0.1346978|
|           95.4|      118|51.5583501|-0.1537677|
|           97.0|      134|51.5074167|-0.0488625|
|           99.1|       53|51.5231744|-0.0529378|
|           98.6|      145|51.5433323|-0.0764885|
|           95.5|      143|51.4972587|-0.0516733|
|           96.0|      123|51.4278724|-0.1679372|
|           96.2|      146|51.4496368|-0.0646018|
|           96.8|      113|51.5579166|-0.1456501|
|           97.1|       32|51.4771696|-0.2112215|
|           98.8|      130|51.5281417|-0.2008812|
|           97.3|       37|51.4457858|-0.0956896|
|           99.9|       42|51.4841572| -0.208311|
|           97.5|       54|51.5857069|-0.0967408|
|           98.2|      102|51.4880886|-0.1048417|
|           97.3|      116|51.5416969|  -0.17964|
|           98.6|      103|51.4580751|-0.1014271|
|           99.1|      109|51.4606483|-0.0499069|
|           98.9|       73| 51.441153|-0.1392515|
|           97.6|      105|51.4449684| -0.062377|
|           97.3|       57|51.4630678|-0.1113284|
|           97.4|      123|51.5821659|-0.1215818|
|           98.1|       75|51.5194415|-0.0819235|
|           95.3|      126|51.5655725|-0.1829937|
|           95.2|       49|51.5440212|-0.1560724|
|           98.1|       83|51.4729612|-0.1521342|
|           99.3|      119|51.5536204|-0.0558707|
|           96.8|      127|51.4175711|-0.1352709|
|           95.8|      131|51.5024401|-0.1750765|
|           96.1|       40| 51.542031| -0.121442|
|           95.4|      144|51.4533651|-0.0913028|
|           98.0|      129|51.5226948|-0.0867382|
|           99.3|      126|51.5112996|-0.1542536|
